time (sec), velocity, LPWM, RPWM, position, reading
0.019995, 0, 0, 0, -0.363489, 243
0.0400168, 0, 0, 0, -0.363489, 243
0.0600218, 0, 0, 0, -0.467343, 251
0.0799967, 0, 0, 0, -0.37647, 244
0.100011, 0.25, 0, 111, -0.168763, 228
0.120012, 0.25, 0, 111, -0.168763, 228
0.139993, 0.25, 0, 111, -0.337525, 241
0.160019, 0.25, 0, 111, -0.22069, 232
0.180016, 0.25, 0, 111, -0.0649087, 220
0.20001, 0.25, 0, 111, 0.0259635, 213
0.220012, 0.5, 0, 159, 0.0129817, 214
0.240088, 0.5, 0, 159, -0.233671, 233
0.260076, 0.5, 0, 159, -0.246653, 234
0.280015, 0.5, 0, 159, -0.246653, 234
0.300022, 0.5, 0, 159, -0.246653, 234
0.32002, 0.75, 0, 207, -0.558215, 258
0.340016, 0.75, 0, 207, -0.752941, 273
0.360013, 0.75, 0, 207, -0.441379, 249
0.380027, 0.75, 0, 207, -0.51927, 255
0.400015, 0.75, 0, 207, -0.688032, 268
0.420026, 1, 0, 255, -0.51927, 255
0.440058, 1, 0, 255, -0.350507, 242
0.459996, 1, 0, 255, -0.259635, 235
0.480028, 1, 0, 255, -0.285598, 237
0.500021, 1, 0, 255, -0.389452, 245
0.520013, 1, 0, 255, -0.233671, 233
0.540016, 0.75, 0, 207, -0.0259635, 217
0.559992, 0.75, 0, 207, -0.0649087, 220
0.58001, 0.75, 0, 207, -0.194726, 230
0.60008, 0.75, 0, 207, -0.194726, 230
0.620022, 0.75, 0, 207, -0.0908722, 222
0.640024, 0.5, 0, 159, -0.0259635, 217
0.659993, 0.5, 0, 159, -0.272617, 236
0.680031, 0.5, 0, 159, -0.0389452, 218
0.700009, 0.5, 0, 159, 0.051927, 211
0.720011, 0.5, 0, 159, -0.155781, 227
0.740012, 0.5, 0, 159, 0.103854, 207
0.760001, 0.25, 0, 111, 0.37647, 186
0.779996, 0.25, 0, 111, 0.0259635, 213
0.8, 0.25, 0, 111, -0.142799, 226
0.820014, 0.25, 0, 111, -0.0778904, 221
0.84001, 0.25, 0, 111, 0.0778904, 209
0.860022, 0.125, 0, 87, 0.37647, 186
0.880019, 0.125, 0, 87, 0.37647, 186
0.900019, 0.125, 0, 87, 0.272617, 194
0.920004, 0.125, 0, 87, 0.428397, 182
0.940023, 0.125, 0, 87, 0.493306, 177
0.960017, 0.125, 0, 87, 0.311562, 191
0.980083, 0, 0, 0, 0.571197, 171
1.00002, 0, 0, 0, 0.649087, 165
1.02001, 0, 0, 0, 0.350507, 188
1.04001, 0, 0, 0, 0.285598, 193
1.06002, 0, 0, 0, 0.415416, 183
1.08001, 0, 0, 0, 0.558215, 172
1.1, 0, 0, 0, 0.636105, 166
1.12001, 0, 0, 0, 0.765923, 156
1.14002, 0, 0, 0, 0.843813, 150
1.16002, 0, 0, 0, 0.843813, 150
1.18001, 0, 0, 0, 0.778904, 155
1.20001, 0, 0, 0, 0.636105, 166
1.22001, 0, 0, 0, 0.532251, 174
1.24002, 0, 0, 0, 0.636105, 166
1.26008, 0, 0, 0, 0.752941, 157
1.28001, 0, 0, 0, 0.791886, 154
1.30001, 0, 0, 0, 0.688032, 162
1.32002, 0, 0, 0, 0.59716, 169
1.34001, 0, 0, 0, 0.610142, 168
1.36, 0, 0, 0, 0.778904, 155
1.38003, 0, 0, 0, 0.739959, 158
1.39999, 0, 0, 0, 0.428397, 182
1.41999, 0, 0, 0, 0.207708, 199
1.43999, 0, 0, 0, 0.207708, 199
1.46003, 0, 0, 0, 0.272617, 194
1.48, 0, 0, 0, 0.324543, 190
1.5, 1, 0, 255, 0.285598, 193
1.52002, 1, 0, 255, 0.22069, 198
1.54002, 1, 0, 255, 0.0389452, 212
1.56002, 1, 0, 255, 0.337525, 189
1.58, 1, 0, 255, 0.610142, 168
1.6, 1, 0, 255, 0.454361, 180
1.62001, 1, 0, 255, 0.545233, 173
1.63999, 1, 0, 255, 0.610142, 168
1.66001, 1, 0, 255, 0.59716, 169
1.68001, 1, 0, 255, 0.804868, 153
1.7, 1, 0, 255, 0.701014, 161
1.72001, 1, 255, 0, 0.701014, 161
1.74002, 1, 255, 0, 0.454361, 180
1.76001, 1, 255, 0, 0.662069, 164
1.78002, 1, 255, 0, 0.662069, 164
1.80004, 1, 255, 0, 0.610142, 168
1.81999, 1, 255, 0, 0.713996, 160
1.84002, 1, 255, 0, 0.636105, 166
1.86002, 1, 255, 0, 0.688032, 162
1.88002, 1, 255, 0, 0.752941, 157
1.90001, 1, 255, 0, 0.921703, 144
1.92007, 1, 255, 0, 0.701014, 161
1.94, 1, 255, 0, 0.688032, 162
1.95999, 1, 255, 0, 1.02556, 136
1.97999, 1, 255, 0, 1.02556, 136
2.00001, 1, 255, 0, 1.02556, 136
2.02002, 1, 255, 0, 1.02556, 136
2.04001, 1, 255, 0, 0.97363, 140
2.06001, 1, 255, 0, 0.778904, 155
2.08001, 1, 255, 0, 0.701014, 161
2.10002, 1, 255, 0, 0.843813, 150
2.12002, 1, 255, 0, 0.921703, 144
2.14001, 1, 255, 0, 0.921703, 144
2.16009, 1, 255, 0, 0.960649, 141
2.18001, 1, 255, 0, 0.649087, 165
2.20002, 1, 255, 0, 0.51927, 175
2.22, 1, 255, 0, 0.726977, 159
2.24002, 0.5, 159, 0, 0.791886, 154
2.26, 0.5, 159, 0, 0.882758, 147
2.28003, 0.5, 159, 0, 0.882758, 147
2.3, 0.5, 159, 0, 0.89574, 146
2.32002, 0.5, 159, 0, 0.89574, 146
2.34002, 0.5, 159, 0, 0.89574, 146
2.36001, 0.5, 159, 0, 0.89574, 146
2.37999, 0.5, 159, 0, 0.804868, 153
2.40001, 0.5, 159, 0, 0.81785, 152
2.42002, 0.5, 159, 0, 0.324543, 190
2.44001, 0.5, 159, 0, 0.142799, 204
2.46, 0.5, 159, 0, 0.0778904, 209
2.48002, 0.5, 159, 0, -0.129817, 225
2.5, 0.5, 159, 0, 0.168763, 202
2.52002, 0.5, 159, 0, 0.272617, 194
2.54001, 0.5, 159, 0, 0.142799, 204
2.56001, 0.5, 159, 0, 0.0389452, 212
2.58002, 0.5, 159, 0, 0.0389452, 212
2.60002, 0.5, 159, 0, 0.259635, 195
2.62, 0.5, 159, 0, 0.103854, 207
2.64003, 0.5, 159, 0, -0.181744, 229
2.66, 0.5, 159, 0, 0, 215
2.68002, 0.5, 159, 0, -0.285598, 237
2.70002, 0.5, 159, 0, -0.726977, 271
2.72002, 0.5, 159, 0, -0.558215, 258
2.74002, 0.5, 0, 159, -0.506288, 254
2.76, 0.5, 0, 159, -0.571197, 259
2.78, 0.5, 0, 159, -1.36308, 320
2.80001, 0.5, 0, 159, -1.31116, 316
2.82002, 0.5, 0, 159, -0.752941, 273
2.84, 0.5, 0, 159, -1.29817, 315
2.86001, 0.5, 0, 159, -1.29817, 315
2.88002, 0.5, 0, 159, -1.18134, 306
2.90002, 0.5, 0, 159, -0.713996, 270
2.92002, 0.5, 0, 159, -0.610142, 262
2.94001, 0.5, 0, 159, -0.610142, 262
2.95999, 0.5, 0, 159, -0.493306, 253
2.98002, 0.5, 0, 159, -0.415416, 247
3.00002, 0, 0, 0, -0.467343, 251
3.02002, 0, 0, 0, -0.532251, 256
3.04002, 0, 0, 0, -0.610142, 262
3.06002, 0, 0, 0, -0.947667, 288
3.08001, 0, 0, 0, -1.10345, 300
3.09999, 0, 0, 0, -0.623123, 263
3.12001, 0, 0, 0, -0.402434, 246
3.14003, 0, 0, 0, -0.558215, 258
3.15999, 0, 0, 0, -0.558215, 258
3.18001, 0, 0, 0, -0.467343, 251
3.2, 0, 0, 0, -0.155781, 227
3.22, 0, 0, 0, -0.0778904, 221
3.24004, 0, 0, 0, -0.142799, 226
3.26, 1, 255, 0, -0.0908722, 222
3.28002, 1, 255, 0, 0.0129817, 214
3.3, 1, 255, 0, -0.194726, 230
3.32002, 1, 255, 0, -0.272617, 236
3.3401, 1, 255, 0, -0.246653, 234
3.36, 1, 255, 0, -0.441379, 249
3.38, 1, 255, 0, -0.493306, 253
3.40001, 1, 255, 0, -0.558215, 258
3.42, 1, 255, 0, -0.558215, 258
3.44003, 1, 255, 0, -0.688032, 268
3.46002, 1, 255, 0, -0.610142, 262
3.48001, 1, 255, 0, -0.843813, 280
3.50002, 1, 255, 0, -0.739959, 272
3.52002, 1, 0, 255, -0.467343, 251
3.54001, 1, 0, 255, -1.32414, 317
3.56002, 1, 0, 255, -1.37606, 321
3.58, 1, 0, 255, -0.558215, 258
3.60002, 1, 0, 255, -0.701014, 269
3.62002, 1, 0, 255, -0.765923, 274
3.64, 1, 0, 255, -0.454361, 250
3.66, 1, 0, 255, -0.532251, 256
3.68002, 1, 0, 255, -0.610142, 262
3.70002, 1, 0, 255, -0.571197, 259
3.72002, 1, 0, 255, -0.571197, 259
3.74001, 1, 0, 255, -0.402434, 246
3.76, 1, 0, 255, -0.272617, 236
3.78005, 1, 0, 255, -0.428397, 248
3.80001, 1, 0, 255, -0.869777, 282
3.82, 1, 0, 255, -0.778904, 275
3.84002, 1, 0, 255, -0.623123, 263
3.86001, 1, 0, 255, -0.752941, 273
3.88, 1, 0, 255, -0.59716, 261
3.90001, 1, 0, 255, -0.662069, 266
3.92001, 1, 0, 255, -0.545233, 257
3.94003, 1, 0, 255, -0.688032, 268
3.96001, 1, 0, 255, -1.05152, 296
3.98, 1, 0, 255, -0.59716, 261
4, 1, 0, 255, -0.194726, 230
4.02, 1, 0, 255, -0.194726, 230
4.04, 0.5, 159, 0, -0.324543, 240
4.06001, 0.5, 159, 0, -0.67505, 267
4.08, 0.5, 159, 0, -0.830831, 279
4.10002, 0.5, 159, 0, -0.467343, 251
4.12001, 0.5, 159, 0, -0.233671, 233
