time (sec), velocity, LPWM, RPWM, position, reading
0.0200018, 0, 0, 0, -0.0194469, 897
0.0400027, 0, 0, 0, -0.0194469, 897
0.0599802, 0, 0, 0, -0.0194469, 897
0.0800038, 0, 0, 0, -0.0194469, 897
0.100009, 0, 0, 0, -0.0194469, 897
0.12, 0, 0, 0, -0.0194469, 897
0.140005, 0, 0, 0, -0.0194469, 897
0.160001, 0, 0, 0, -0.0194469, 897
0.179969, 0, 0, 0, -0.0194469, 897
0.199986, 0, 0, 0, -0.0194469, 897
0.219969, 0, 0, 0, -0.0194469, 897
0.239981, 0, 0, 0, -0.0194469, 897
0.26001, 0, 0, 0, -0.0194469, 897
0.279982, 0, 0, 0, -0.0194469, 897
0.299974, 0, 0, 0, -0.0194469, 897
0.320024, 0, 0, 0, -0.0194469, 897
0.339978, 0, 0, 0, -0.0194469, 897
0.359987, 0, 0, 0, -0.0194469, 897
0.379981, 0, 0, 0, -0.0194469, 897
0.399995, 0, 0, 0, -0.0194469, 897
0.419981, 0, 0, 0, -0.0194469, 897
0.439992, 0, 0, 0, -0.0194469, 897
0.459999, 0, 0, 0, -0.0194469, 897
0.479974, 0, 0, 0, -0.0194469, 897
0.499993, 0, 0, 0, -0.0194469, 897
0.519996, 0.25, 0, 159, -0.0194469, 897
0.540016, 0.25, 0, 159, -0.0194469, 897
0.560067, 0.25, 0, 159, -0.0194469, 897
0.580006, 0.25, 0, 159, -0.0194469, 897
0.600006, 0.25, 0, 159, -0.0194469, 897
0.620007, 0.25, 0, 159, -0.0194469, 897
0.64001, 0.25, 0, 159, -0.0194469, 897
0.659995, 0.25, 0, 159, -0.0194469, 897
0.679997, 0.25, 0, 159, -0.0194469, 897
0.699993, 0.25, 0, 159, -0.0194469, 897
0.719998, 0.25, 0, 159, -0.0194469, 897
0.74, 0.25, 0, 159, -0.0194469, 897
0.760057, 0.25, 0, 159, -0.0194469, 897
0.779977, 0.25, 0, 159, -0.0194469, 897
0.799972, 0.25, 0, 159, -0.0194469, 897
0.819973, 0.25, 0, 159, -0.0194469, 897
0.840006, 0.25, 0, 159, -0.0194469, 897
0.859995, 0.25, 0, 159, -0.0194469, 897
0.88, 0.25, 0, 159, -0.0194469, 897
0.899987, 0.25, 0, 159, -0.0194469, 897
0.919977, 0.25, 0, 159, -0.0194469, 897
0.939992, 0.25, 0, 159, -0.0194469, 897
0.959982, 0.25, 0, 159, -0.0194469, 897
0.979996, 0.25, 0, 159, -0.0194469, 897
0.999989, 0.25, 0, 159, -0.0194469, 897
1.01999, 0.25, 0, 159, -0.0194469, 897
1.04, 0.5, 0, 191, -0.0194469, 897
1.05998, 0.5, 0, 191, -0.0194469, 897
1.07998, 0.5, 0, 191, -0.0194469, 897
1.1, 0.5, 0, 191, -0.0194469, 897
1.11997, 0.5, 0, 191, -0.0194469, 897
1.14, 0.5, 0, 191, -0.0194469, 897
1.16, 0.5, 0, 191, -0.0194469, 897
1.18, 0.5, 0, 191, -0.0194469, 897
1.2, 0.5, 0, 191, -0.0194469, 897
1.22, 0.5, 0, 191, -0.0194469, 897
1.23998, 0.5, 0, 191, -0.0194469, 897
1.26, 0.5, 0, 191, -0.0194469, 897
1.39276, 0.5, 0, 191, -0.0194469, 897
1.41284, 0.5, 0, 191, -0.0194469, 897
1.43283, 0.5, 0, 191, -0.0194469, 897
1.45283, 0.5, 0, 191, -0.0194469, 897
1.47282, 0.5, 0, 191, -0.0198438, 898
1.49284, 0.5, 0, 191, -0.0202406, 899
1.51282, 0.5, 0, 191, -0.0206375, 900
1.53283, 0.5, 0, 191, -0.0210344, 901
1.55284, 0.75, 0, 223, -0.0214312, 902
1.57283, 0.75, 0, 223, -0.0214312, 902
1.59284, 0.75, 0, 223, -0.0218281, 903
1.61283, 0.75, 0, 223, -0.022225, 904
1.63282, 0.75, 0, 223, -0.0226219, 905
1.65292, 0.75, 0, 223, -0.0226219, 905
1.67284, 0.75, 0, 223, -0.0226219, 905
1.69285, 0.75, 0, 223, -0.0226219, 905
1.71283, 0.75, 0, 223, -0.0230187, 906
1.73284, 0.75, 0, 223, -0.0230187, 906
1.75283, 0.75, 0, 223, -0.0230187, 906
1.77281, 0.75, 0, 223, -0.0230187, 906
1.79282, 0.75, 0, 223, -0.0230187, 906
1.81291, 0.75, 0, 223, -0.0230187, 906
1.83283, 0.75, 0, 223, -0.0230187, 906
1.85282, 0.75, 0, 223, -0.0234156, 907
1.87285, 0.75, 0, 223, -0.0234156, 907
1.89282, 0.75, 0, 223, -0.0238125, 908
1.91284, 0.75, 0, 223, -0.0242094, 909
1.93283, 0.75, 0, 223, -0.0246062, 910
1.95284, 0.75, 0, 223, -0.0250031, 911
1.97282, 0.75, 0, 223, -0.0254, 912
1.99284, 0.75, 0, 223, -0.0257969, 913
2.01283, 0.75, 0, 223, -0.0261937, 914
2.03283, 0.75, 0, 223, -0.0261937, 914
2.05284, 1, 0, 255, -0.0261937, 914
2.07282, 1, 0, 255, -0.0261937, 914
2.09281, 1, 0, 255, -0.0261937, 914
2.11284, 1, 0, 255, -0.0265906, 915
2.13284, 1, 0, 255, -0.0265906, 915
2.1529, 1, 0, 255, -0.0265906, 915
2.17284, 1, 0, 255, -0.0269875, 916
2.19281, 1, 0, 255, -0.0273844, 917
2.21285, 1, 0, 255, -0.0273844, 917
2.23285, 1, 0, 255, -0.0277813, 918
2.25295, 1, 0, 255, -0.0281781, 919
2.27284, 1, 0, 255, -0.028575, 920
2.29282, 1, 0, 255, -0.0289719, 921
2.31282, 1, 0, 255, -0.0293687, 922
2.33284, 1, 0, 255, -0.0297656, 923
2.35283, 1, 0, 255, -0.0301625, 924
2.37286, 1, 0, 255, -0.0305594, 925
2.39282, 1, 0, 255, -0.0309562, 926
2.41282, 1, 0, 255, -0.0313531, 927
2.43283, 1, 0, 255, -0.0313531, 927
2.45284, 1, 0, 255, -0.03175, 928
2.47283, 1, 0, 255, -0.03175, 928
2.49284, 1, 0, 255, -0.03175, 928
2.51284, 1, 0, 255, -0.03175, 928
2.53283, 1, 0, 255, -0.03175, 928
2.55286, 0.75, 0, 223, -0.0321469, 929
2.57282, 0.75, 0, 223, -0.0325437, 930
2.59284, 0.75, 0, 223, -0.0329406, 931
2.61283, 0.75, 0, 223, -0.0333375, 932
2.63281, 0.75, 0, 223, -0.0337344, 933
2.65284, 0.75, 0, 223, -0.0345281, 935
2.67283, 0.75, 0, 223, -0.034925, 936
2.69284, 0.75, 0, 223, -0.0353219, 937
2.71284, 0.75, 0, 223, -0.0353219, 937
2.73281, 0.75, 0, 223, -0.0353219, 937
2.75284, 0.75, 0, 223, -0.0353219, 937
