time (sec), velocity, LPWM, RPWM, position, reading
0.0200043, 0, 0, 0, 0.111111, 862
0.039922, 0, 0, 0, 0.111111, 862
0.0599079, 0, 0, 0, 0.111111, 862
0.0799035, 0, 0, 0, 0.111111, 862
0.0999242, 0, 0, 0, 0.111111, 862
0.119933, 0.25, 0, 87, 0.111111, 862
0.139928, 0.25, 0, 87, 0.111111, 862
0.160007, 0.25, 0, 87, 0.111111, 862
0.179914, 0.25, 0, 87, 0.111111, 862
0.199949, 0.25, 0, 87, 0.111111, 862
0.219915, 0.25, 0, 87, 0.111111, 862
0.239919, 0.5, 0, 143, 0.111111, 862
0.259906, 0.5, 0, 143, 0.111111, 862
0.279922, 0.5, 0, 143, 0.111111, 862
0.412479, 0.75, 0, 199, 0.111111, 862
0.432559, 0.75, 0, 199, 0.111111, 862
0.452558, 0.75, 0, 199, 0.111111, 862
0.472559, 0.75, 0, 199, 0.111111, 862
0.492546, 0.75, 0, 199, 0.111111, 862
0.512556, 1, 0, 255, 0.111111, 862
0.532559, 1, 0, 255, 0.111111, 862
0.552657, 1, 0, 255, 0.111111, 862
0.572562, 1, 0, 255, 0.111111, 862
0.592627, 1, 0, 255, 0.111111, 862
0.612552, 1, 0, 255, 0.111111, 862
0.632557, 1, 0, 255, 0.111111, 862
0.652564, 1, 0, 255, 0.111111, 862
0.672572, 1, 0, 255, 0.111111, 862
0.692545, 1, 0, 255, 0.111111, 862
0.712651, 1, 0, 255, 0.111111, 862
0.73262, 1, 0, 255, 0.111111, 862
0.752558, 1, 0, 255, 0.111111, 862
0.772616, 0.75, 0, 199, 0.111111, 862
0.792558, 0.75, 0, 199, 0.111111, 862
0.812567, 0.75, 0, 199, 0.133333, 863
0.832577, 0.75, 0, 199, 0.133333, 863
0.852579, 0.75, 0, 199, 0.133333, 863
0.872556, 0.75, 0, 199, 0.133333, 863
0.892557, 0.5, 0, 143, 0.133333, 863
0.912579, 0.5, 0, 143, 0.133333, 863
0.932564, 0.5, 0, 143, 0.133333, 863
0.952566, 0.5, 0, 143, 0.133333, 863
0.972571, 0.5, 0, 143, 0.133333, 863
0.992638, 0.25, 0, 87, 0.133333, 863
1.01254, 0.25, 0, 87, 0.133333, 863
1.03258, 0.25, 0, 87, 0.133333, 863
1.05256, 0.25, 0, 87, 0.133333, 863
1.07256, 0.25, 0, 87, 0.133333, 863
1.09264, 0.25, 0, 87, 0.222222, 867
1.11256, 0.125, 0, 59, 0.333333, 872
1.13263, 0.125, 0, 59, 0.333333, 872
1.15254, 0.125, 0, 59, 0.311111, 871
1.17257, 0.125, 0, 59, 0.311111, 871
1.19254, 0.125, 0, 59, 0.311111, 871
1.21256, 0.125, 0, 59, 0.311111, 871
1.23254, 0, 0, 0, 0.333333, 872
1.25254, 0, 0, 0, 0.333333, 872
1.27255, 0, 0, 0, 0.333333, 872
1.29262, 0, 0, 0, 0.333333, 872
1.31265, 0, 0, 0, 0.333333, 872
1.33254, 0, 0, 0, 0.333333, 872
1.35257, 0, 0, 0, 0.333333, 872
1.37255, 0, 0, 0, 0.333333, 872
1.39256, 0, 0, 0, 0.333333, 872
1.41264, 0, 0, 0, 0.333333, 872
1.43256, 0, 0, 0, 0.333333, 872
1.45256, 0, 0, 0, 0.333333, 872
1.47256, 0, 0, 0, 0.333333, 872
1.49254, 0, 0, 0, 0.333333, 872
1.51256, 0, 0, 0, 0.333333, 872
1.53256, 0, 0, 0, 0.333333, 872
1.55257, 0, 0, 0, 0.333333, 872
1.57263, 0, 0, 0, 0.333333, 872
1.59262, 0, 0, 0, 0.333333, 872
1.61256, 0, 0, 0, 0.333333, 872
1.63263, 0, 0, 0, 0.333333, 872
1.65255, 0, 0, 0, 0.333333, 872
1.67256, 0, 0, 0, 0.311111, 871
1.69255, 0, 0, 0, 0.311111, 871
1.71254, 0, 0, 0, 0.311111, 871
1.73254, 1, 0, 255, 0.333333, 872
1.75257, 1, 0, 255, 0.333333, 872
1.77263, 1, 0, 255, 0.333333, 872
1.79255, 1, 0, 255, 0.311111, 871
1.81255, 1, 0, 255, 0.311111, 871
1.83256, 1, 0, 255, 0.311111, 871
1.85254, 1, 0, 255, 0.333333, 872
1.87257, 1, 0, 255, 0.333333, 872
1.89256, 1, 0, 255, 0.333333, 872
1.91262, 1, 0, 255, 0.333333, 872
1.93256, 1, 255, 0, 0.333333, 872
1.95262, 1, 255, 0, 0.333333, 872
1.97255, 1, 255, 0, 0.333333, 872
1.99254, 1, 255, 0, 0.422222, 876
2.01254, 1, 255, 0, 0.511111, 880
2.03256, 1, 255, 0, 0.511111, 880
2.05254, 1, 255, 0, 0.511111, 880
2.07256, 1, 255, 0, 0.511111, 880
2.09264, 1, 255, 0, 0.511111, 880
2.11256, 1, 255, 0, 0.488889, 879
2.13256, 1, 255, 0, 0.488889, 879
2.15257, 1, 255, 0, 0.488889, 879
2.17265, 1, 255, 0, 0.488889, 879
2.19255, 0.5, 143, 0, 0.488889, 879
2.21254, 0.5, 143, 0, 0.488889, 879
2.23254, 0.5, 143, 0, 0.488889, 879
2.25254, 0.5, 143, 0, 0.488889, 879
2.27254, 0.5, 143, 0, 0.488889, 879
2.29254, 0.5, 143, 0, 0.488889, 879
2.31256, 0.5, 143, 0, 0.488889, 879
